PC,"Inst Name",Jump?,Jump Addr
0x4761,"INC BC",0,0x0
0x4762,"LD A,(HL)",0,0x0
0x4763,"SUB C",0,0x0
0x4764,"JR NZ,$4770  [+10]",1,0x4770
0x4765,"LD A,(BC)",0,0x0
0x15FF5,"LD A,(HL)",0,0x0
0x15FF6,"INC A",0,0x0
0x15FF7,"JP Z,$6027",1,0x6027
0x15FF8,"DAA",0,0x0
0x15FFA,"LD HL,(SP+4)",0,0x0
0x15FFB,"INC B",0,0x0
0x15FFC,"LD C,(HL)",0,0x0
0x15FFD,"LD B,$00",0,0x0
0x15FFE,"NOP",0,0x0
0x15FFF,"LD L,C",0,0x0
0x16000,"LD H,B",0,0x0
0x16001,"ADD HL,HL",0,0x0
0x16002,"ADD HL,HL",0,0x0
0x16003,"ADD HL,BC",0,0x0
0x16004,"ADD HL,HL",0,0x0
0x16005,"ADD HL,BC",0,0x0
0x16006,"ADD HL,HL",0,0x0
0x16007,"ADD HL,BC",0,0x0
0x16008,"ADD HL,HL",0,0x0
0x16009,"LD C,L",0,0x0
0x1600A,"LD B,H",0,0x0
0x1600B,"LD HL,$C0AC",1,0xC0AC
0x1600C,"XOR H",0,0x0
0x1600E,"ADD HL,BC",0,0x0
0x1600F,"LD C,L",0,0x0
0x16010,"LD B,H",0,0x0
0x16011,"LD HL,$0018",1,0x18
0x16012,"JR $6014  [+0]",1,0x6014
0x16014,"ADD HL,BC",0,0x0
0x16015,"LD C,L",0,0x0
0x16016,"LD B,H",0,0x0
0x16017,"LD A,(BC)",0,0x0
0x16018,"OR A",0,0x0
0x16019,"JR Z,$6027  [+12]",1,0x6027
0x1601A,"INC C",0,0x0
0x15E73,"LD HL,(SP+4)",0,0x0
0x15E74,"INC B",0,0x0
0x15E75,"INC (HL)",0,0x0
0x15E76,"LD HL,$C0B1",1,0xC0B1
0x15E77,"OR C",0,0x0
0x15E79,"LD (HL),$01",0,0x0
0x15E7A,"LD BC,$B221",1,0xB221
0x15E7B,"LD HL,$C0B2",1,0xC0B2
0x15E7C,"OR D",0,0x0
0x15E7E,"LD (HL),$00",0,0x0
0x15E7F,"NOP",0,0x0
0x15E80,"LD HL,$C0C0",1,0xC0C0
0x15E81,"RET NZ",0,0x0
0x15E83,"LD (HL),$01",0,0x0
0x15E84,"LD BC,$04F8",1,0x4F8
0x15E85,"LD HL,(SP+4)",0,0x0
0x15E86,"INC B",0,0x0
0x15E87,"LD B,(HL)",0,0x0
0x15E88,"INC B",0,0x0
0x15E89,"XOR A",0,0x0
0x15E8A,"PUSH AF",0,0x0
0x15E8B,"INC SP",0,0x0
0x15E8C,"LD HL,(SP+2)",0,0x0
0x15E8D,"LD (BC),A",0,0x0
0x15E8E,"LD A,(HL)",0,0x0
0x15E8F,"PUSH AF",0,0x0
0x15E90,"INC SP",0,0x0
0x15E91,"PUSH BC",0,0x0
0x15E92,"INC SP",0,0x0
0x15E93,"CALL $05C8",1,0x5C8
0x15E94,"RET Z",0,0x0
0x45AA,"LD HL,(SP+0)",0,0x0
0x45AB,"NOP",0,0x0
0x45AC,"LD E,(HL)",0,0x0
